rowname,10_WT_B_S18,11_WT_C_S19,12_WT_D_S20,13_TRMB_A_S21,16_TRMB_D_S24,1_WT_A_S9,2_WT_B_S10,3_WT_C_S11,4_WT_D_S12,5_TRMB_A_S13,7_TRMB_C_S15,9_WT_A_S17,aBWT_C_noglu_24_S20_SP,aCWT_D_noglu_24_S21_SP,RWT_A_glu_24_S41_S1,SWT_B_glu_24_S16_SP,TWT_C_glu_24_S17_SP,UWT_D_glu_24_S46_S1,ZWT_A_noglu_24_S47_S1
HAH_RS02095,941.6238916010954,1155.256238706912,1014.5482999951108,1027.8124085722443,1085.7653045830396,979.0695676804622,946.9250218630566,1007.1783703503901,946.0958046500854,925.3735202758762,928.5317740579147,933.0032849175899,957.9197292201036,881.2023599717186,1197.2612341658914,1128.7076333137854,1110.9673130942772,935.0877798135822,836.2437897357697
HAH_RS19835,171.09244566346698,168.01829668637112,171.56589138128703,144.99496478072732,137.41717136129097,125.04672813326623,111.04006771032586,151.07675555255852,85.73523189992824,89.30930486383457,104.8839877673392,145.987572816517,278.3185687903119,257.5729043933841,266.8947125778612,236.1284067239269,174.53051164698738,128.28722117981738,263.1018127233662
HAH_RS02100,5589.43018530794,5579.042323511429,6545.898625009105,5025.268526197866,5401.6823903006225,9601.736176514354,10301.022577682914,9312.203349197982,10446.16114991231,11124.926542014284,9897.141002555292,5770.350904484435,5619.155931956124,6444.171040976124,4192.505970933111,4914.379186274807,6612.5335215971045,7977.537141343789,6271.210813129251
HAH_RS02105,1430.2836105104218,1305.53347301025,1890.524149259182,1974.8681278995264,1855.9800675216334,2410.159900761176,2555.9778548876857,2463.390430815329,2645.759173894277,2823.4652525626734,2483.282651550237,1656.3552434595802,1815.0689421540596,2049.0682111859564,1329.4535996433274,1661.9008097871688,2124.5059469960593,2579.0922269560974,1907.1793372998943
HAH_RS02110,13748.939698280044,11910.514410444432,16577.55425471686,91818.52029222083,86364.14743813875,14397.972904470298,12510.51429536338,15991.75434700786,13439.373632032612,10830.098234391506,11841.607873810572,15011.474028862305,14756.882390903562,20119.171075640403,31386.483534940075,29360.94009824406,27889.13465028908,30959.48834830853,13111.857943936773
HAH_RS02115,6548.286409565787,6687.336926498547,7161.226293136221,8306.92671642496,8199.22455789036,9612.851441237312,10688.634665893958,11786.784650794982,9879.105317872432,11193.79154817435,9158.839990624414,6846.048809448245,5318.643856602792,7169.011496633741,7278.110046127945,9833.605583244827,9655.953126300796,9921.125619449576,5599.251253873329
HAH_RS02120,796.3799449227564,690.8578410334017,783.5942154433783,598.3336521331279,709.1404645557977,1108.7476561149606,1135.0762477055532,1257.5741040902788,875.4018415045305,1002.8466522059496,682.7741948775807,1057.0378392654577,875.1439479850538,847.8693958737513,846.7004674883872,978.4441017621956,939.2405044456349,929.8969673959017,860.3305754076272
HAH_RS02125,1287.5014256401905,930.883979156789,1530.8956461714843,1622.4753021033284,1601.5038242599835,1420.901340418003,1690.2765862571825,1457.6109193126479,1946.340176815915,1822.770631799226,1352.180822686775,1203.0254120819748,970.5160437558719,1386.0452525827513,773.0743398807014,1058.7693075685754,1186.6672940495969,1424.507236337741,1048.083981670311
HAH_RS02130,17440.35152953715,13632.441053503513,19738.32586901057,20967.373134873782,19187.508741928403,19033.964566003615,17946.336869293867,16292.508999265268,20355.34900529349,19763.180752217464,19725.387620988902,19735.76360331561,11561.0174458286,14050.753448132273,9192.389363927776,11907.519302125065,15262.658197241566,19585.67679653952,13236.615141519214
HAH_RS02135,4258.847928025869,4264.116523357219,4218.2113871341435,6187.063623744706,5910.634876823922,3482.7829465265263,3242.781236651553,2852.2731904783964,3212.815005934153,3090.317151432926,2882.2531148220764,4274.252695845994,3091.4954817785933,3028.451301773506,4215.095805540014,3627.7909760312405,3948.314747419598,4196.401067379114,2727.365269921092
