"","10_WT_B_S18","11_WT_C_S19","12_WT_D_S20","13_TRMB_A_S21","16_TRMB_D_S24","1_WT_A_S9","2_WT_B_S10","3_WT_C_S11","4_WT_D_S12","5_TRMB_A_S13","7_TRMB_C_S15","9_WT_A_S17","aBWT_C_noglu_24_S20_SP","aCWT_D_noglu_24_S21_SP","RWT_A_glu_24_S41_S1","SWT_B_glu_24_S16_SP","TWT_C_glu_24_S17_SP","UWT_D_glu_24_S46_S1","ZWT_A_noglu_24_S47_S1"
"HAH_RS05845",1097,1136,816,1496,2045,1203,1291,909,993,1308,1557,1272,3776,3487,2024,2061,1972,1963,4222
"HAH_RS05850",2093,2762,1870,1786,1982,4442,3367,2324,2299,3602,3830,2816,2911,3255,2722,2667,2737,3303,3576
"HAH_RS05855",1331,1813,895,1445,1722,2340,1870,1234,1388,1847,2123,1554,1172,1359,1147,945,1080,1356,1622
"HAH_RS05860",8972,10556,6198,9685,13674,12114,9386,5932,6930,9442,9937,11000,10757,12809,7783,6461,7715,8601,14818
"HAH_RS05865",2240,2835,1737,1678,2197,3438,3039,1861,2226,3204,3694,2740,6151,6173,3306,3244,3919,5055,7926
"HAH_RS05870",1051,1540,768,627,706,1803,1661,1014,1079,1889,1790,1326,1977,1936,1150,1273,1293,1646,2426
"HAH_RS05875",682,692,478,483,581,1024,1045,630,750,1000,1273,663,1151,1163,1069,1048,911,862,1320
"HAH_RS05880",1665,2144,1180,771,976,3075,2217,1617,1599,2455,2474,2194,2216,2385,1821,1774,2042,2217,2581
"HAH_RS05885",1122,1342,776,480,509,2087,1905,1323,1328,1827,2220,1419,1553,1890,1225,1284,1402,1737,2132
"HAH_RS05890",2201,2451,1925,2133,2421,2458,2394,1747,1617,2526,2608,2536,5043,4290,2385,2655,2448,2221,5282
"HAH_RS05895",5584,6283,4424,3645,4151,6010,5957,3812,3853,6008,5559,6182,10641,9586,4878,5630,5097,4708,11028
"HAH_RS05900",378,549,324,297,369,427,468,363,291,414,551,391,1190,998,828,958,714,593,1080
"HAH_RS05905",3514,4575,2517,1821,2005,4028,3924,2642,2819,3824,3943,3907,6472,5770,4144,4323,3971,3271,6161
"HAH_RS05910",1713,1963,1426,1445,1677,1996,1554,1160,1076,1586,1479,1972,2782,2639,1786,2090,1817,1737,2954
"HAH_RS05915",1765,1956,1230,1308,1331,1521,1318,922,1042,1121,1306,2132,4129,4019,2651,3419,3096,2868,3861
"HAH_RS05920",35,30,23,20,26,32,29,17,25,26,32,46,79,93,74,81,70,94,72
"HAH_RS05925",684,780,753,1106,1087,746,725,540,477,737,865,723,1267,1032,601,821,651,510,1110
"HAH_RS05930",828,820,411,507,391,1015,703,433,599,865,561,1000,326,478,445,603,556,552,426
"HAH_RS05935",486,708,369,224,250,555,494,414,357,523,538,487,1284,966,775,773,615,570,1085
"HAH_RS05940",108,137,88,71,79,128,135,129,77,126,136,104,267,254,214,219,166,121,282
"HAH_RS05945",91,110,68,61,56,92,96,88,66,72,91,92,231,177,142,128,99,110,205
"HAH_RS05950",437,539,330,299,303,483,502,475,293,494,607,438,891,899,605,763,624,504,861
"HAH_RS05955",2276,2660,1867,1622,1897,4320,3744,2708,2897,4057,4538,2761,2553,2737,2187,2802,2905,3059,2998
"HAH_RS05960",677,902,528,346,329,632,482,373,348,500,541,746,1682,1168,1336,1158,975,791,1355
"HAH_RS05965",7765,9619,5948,8810,11107,10455,8002,5380,5866,8264,8004,9580,12087,10061,12557,12437,10810,9511,11182
"HAH_RS05970",2877,3698,1650,2934,3205,4231,4225,2264,2884,4083,3926,3427,4371,3604,4978,6286,4923,3354,3645
"HAH_RS05975",4442,5098,2769,4165,5154,5553,5098,3093,3626,5189,5388,5015,5634,5150,3527,3834,3762,3631,6024
"HAH_RS05980",5508,7289,4462,6700,8210,5722,5495,4243,3485,4926,7004,5789,15478,12681,8358,8572,8041,7134,13348
"HAH_RS05985",1975,1979,1486,2061,2403,2116,2175,1647,1427,2006,2304,1965,4034,3997,2155,2596,2383,2330,4407
"HAH_RS05990",284,290,189,204,207,346,350,245,255,322,244,279,455,457,432,711,589,387,386
"HAH_RS05995",315,292,250,275,299,428,396,329,245,375,300,328,497,541,556,773,685,452,552
"HAH_RS06000",289,380,272,321,296,559,451,411,267,436,474,328,531,586,655,857,789,594,558
"HAH_RS06005",128,133,123,145,136,193,181,182,84,176,178,133,255,239,336,438,378,252,243
"HAH_RS06010",464,503,413,569,514,836,680,756,341,705,805,559,933,849,1369,1864,1622,1077,865
"HAH_RS06015",86,105,83,115,81,165,151,206,67,146,210,94,207,185,365,541,423,303,165
"HAH_RS06020",915,1024,1170,2721,3267,848,1017,1162,566,857,1545,975,8110,4708,7611,8937,6453,3728,4298
"HAH_RS06025",749,804,695,937,993,863,691,474,529,683,711,927,1618,1507,1225,1140,1092,1003,1581
"HAH_RS06030",29406,33376,11348,12049,12840,4030,5155,5117,2436,4909,5671,30146,81817,85438,1748,2663,2825,2099,105195
"HAH_RS06035",16628,19665,7515,6745,6753,3654,4910,5350,2363,5137,5930,17150,44208,46951,2475,4892,3377,2338,56378
"HAH_RS06040",23738,26167,12822,14842,16468,6231,7250,8705,3895,7073,11812,24884,59629,54649,6166,8934,6313,3618,71105
"HAH_RS06045",12337,10080,6190,4535,4752,1602,2170,2740,1123,2055,3080,12226,24367,28342,1076,1569,1270,821,34135
